City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3664659,Carauari,BR,-4.8828,-66.8958,71.35,99,98,1.05
486148,Surazh,RU,53.0175,32.3918,46.76,75,83,17.92
3357114,Grootfontein,NA,-19.5667,18.1167,85.57,25,0,4.61
4863349,Keokuk,US,40.3973,-91.3849,50.41,76,0,11.5
1806840,Huilong,CN,31.8111,121.655,47.89,49,1,16.04
1784554,Zhicheng,CN,30.2956,111.5047,52.41,68,23,5.95
803494,Orël-Izumrud,RU,43.4583,39.9244,64.2,70,20,7.0
582447,Almaznyy,RU,48.0448,40.045,51.94,52,95,13.15
5861897,Fairbanks,US,64.8378,-147.7164,19.72,88,90,4.61
3980230,Viesca,MX,25.35,-102.8,56.35,40,0,2.08
1264976,Leh,IN,34.1667,77.5833,29.89,49,0,0.18
651943,Kokkola,FI,63.8385,23.1307,29.75,79,40,1.01
2318123,Yenagoa,NG,4.9247,6.2642,88.16,64,65,2.66
4985180,Bay City,US,43.5945,-83.8889,45.77,83,1,10.36
503581,Pyaozerskiy,RU,65.8333,31.1667,26.83,75,45,6.08
3461641,Iaciara,BR,-14.0958,-46.6317,74.03,82,100,1.92
3939761,Hualmay,PE,-11.0964,-77.6139,62.6,87,99,6.4
110690,Abhā,SA,18.2164,42.5053,70.05,18,40,4.61
1489822,Tegul'det,RU,57.3064,88.1667,32.85,62,81,16.4
371745,Kutum,SD,14.2,24.6667,83.79,17,0,6.13
1643837,Gorontalo,ID,0.5412,123.0595,78.75,91,100,1.61
3448892,São João da Ponte,BR,-15.9292,-44.0078,71.82,86,95,6.69
1160939,Iranshahr,IR,27.2025,60.6848,86.34,15,0,4.61
2138555,Poum,NC,-20.2333,164.0167,75.99,77,86,12.77
2070998,Geraldton,AU,-28.7667,114.6,66.61,63,90,12.66
5972762,Hay River,CA,60.8156,-115.7999,24.78,86,90,14.97
3395483,Maracanã,BR,-0.7667,-47.45,76.1,95,58,1.81
4474436,Kinston,US,35.2627,-77.5816,42.87,70,1,5.75
933995,Souillac,MU,-20.5167,57.5167,79.18,78,75,11.5
1632694,Pangkalanbuun,ID,-2.6833,111.6167,79.63,82,98,3.0
1244926,Hambantota,LK,6.1241,81.1185,80.37,78,100,22.5
6255012,Flinders,AU,-34.5833,150.8552,65.62,85,95,1.01
3902377,La Santisima Trinidad,BO,-14.8333,-64.9,73.38,88,75,0.0
3470137,Belmonte,BR,-15.8631,-38.8828,77.5,80,98,5.08
2074113,Collie,AU,-33.3667,116.15,58.98,64,89,13.2
1855476,Nichinan,JP,31.6,131.3667,67.44,83,100,8.55
3374333,Praia,CV,14.9215,-23.5087,79.34,65,20,18.41
3420846,Qaqortoq,GL,60.7167,-46.0333,30.7,86,95,3.13
3430443,Necochea,AR,-38.5473,-58.7368,55.04,87,5,5.28
1106542,Chitungwiza,ZW,-18.0127,31.0756,92.48,13,3,6.62
1529376,Korla,CN,41.7597,86.1469,36.18,19,0,5.14
2021980,Davenda,RU,53.5556,119.317,16.14,73,100,2.08
1714733,Dingle,PH,10.9995,122.6711,79.3,88,42,6.91
1272140,Dwārka,IN,22.2394,68.9678,87.26,34,53,14.29
4845585,Westport,US,41.1415,-73.3579,44.13,73,1,3.0
359796,Suez,EG,29.9737,32.5263,84.65,23,0,7.11
2171099,Codrington,AU,-38.2667,141.9667,49.87,82,17,3.89
2159220,Mackay,AU,-21.15,149.2,79.05,87,77,10.6
1735634,Kuching,MY,1.55,110.3333,86.22,70,40,3.44
